timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent,pct_change,volatility
2020-06-12 00:00:00,0.5938689708709717,0.574059009552002,0.604653000831604,940323,0.569920003414154,0.5938689708709717,SOL,4,14,61,18,5,3.5080226636911904,5.953550903881724
2020-06-13 00:00:00,0.608942985534668,0.5939480066299438,0.6114389896392822,764757,0.5854849815368652,0.608942985534668,SOL,4,13,58,18,9,2.538272818259668,5.440200285228108
2020-06-14 00:00:00,0.5870770215988159,0.6109269857406616,0.618257999420166,873416,0.5808990001678467,0.5870770215988159,SOL,5,14,55,17,9,-3.59080643923555,5.103397905378948
2020-06-15 00:00:00,0.5706390142440796,0.5883730053901672,0.5918970108032227,942666,0.5472869873046875,0.5706390142440796,SOL,4,14,62,17,4,-2.7999745774361706,5.034000824321763
2020-06-16 00:00:00,0.5855759978294373,0.5705789923667908,0.5898280143737793,652020,0.5686889886856079,0.5855759978294373,SOL,4,15,63,21,4,2.6175889156728083,5.02050708005858
2020-06-17 00:00:00,0.5815619826316833,0.5854970216751099,0.590129017829895,673274,0.5651170015335083,0.5815619826316833,SOL,5,13,55,17,9,-0.6854815109623158,4.982661327723263
2020-06-18 00:00:00,0.6209560036659241,0.5815820097923279,0.6503090262413025,1349341,0.5792850255966187,0.6209560036659241,SOL,4,14,62,16,4,6.773830169567652,5.196906485392783
2020-06-19 00:00:00,0.684332013130188,0.6224070191383362,0.8363980054855347,6577471,0.6203839778900146,0.684332013130188,SOL,4,13,61,16,7,10.206199648624438,5.633815405602112
2020-06-20 00:00:00,0.6435909867286682,0.6825230121612549,0.6885830163955688,1714405,0.6256260275840759,0.6435909867286682,SOL,3,13,61,22,4,-5.953400633000805,5.776960869913293
2020-06-21 00:00:00,0.6731489896774292,0.6461349725723267,0.7485420107841492,2238347,0.6368799805641174,0.6731489896774292,SOL,3,13,55,18,9,4.592668877947226,5.839539387981215
2020-06-22 00:00:00,0.7268480062484741,0.6725770235061646,0.7431129813194275,1620388,0.6458770036697388,0.7268480062484741,SOL,4,13,56,19,9,7.977285473870688,5.993199719017852
2020-06-23 00:00:00,0.7082970142364502,0.7267730236053467,0.7606329917907715,1327340,0.7007120251655579,0.7082970142364502,SOL,3,13,56,17,9,-2.552251894831814,6.027639458437107
2020-06-24 00:00:00,0.7369940280914307,0.7085300087928772,0.8006920218467712,2769054,0.6935009956359863,0.7369940280914307,SOL,4,13,61,18,8,4.051550871764742,6.057389476607363
2020-06-25 00:00:00,0.7131940126419067,0.7371000051498413,0.7567049860954285,1751581,0.6992400288581848,0.7131940126419067,SOL,3,13,57,18,4,-3.229336269000449,5.5178342276545145
2020-06-26 00:00:00,0.7411440014839172,0.7125309705734253,0.7519919872283936,1664662,0.6815320253372192,0.7411440014839172,SOL,3,13,61,22,5,3.9189881500090618,5.353500672844827
2020-06-27 00:00:00,0.7135480046272278,0.7395970225334167,0.7522109746932983,1681428,0.6758379936218262,0.7135480046272278,SOL,3,13,59,22,4,-3.723432531523807,5.442336515250069
2020-06-28 00:00:00,0.7984949946403503,0.7135480046272278,0.8439769744873047,3412582,0.6870949864387512,0.7984949946403503,SOL,4,14,55,18,6,11.904873878457645,5.746058878244116
